MotherID,T,ps,w,Sum_Adult,Male,FirstBorn
698.0,0.0,0.318607085216757,0.8653274001261373,-0.3222128320722189,1.0,1.0
703.0,0.0,0.24198054696403587,0.7778533348349036,-0.08355900033885029,1.0,1.0
704.0,0.0,0.18023952113491296,0.7192685846847136,1.3042091651400853,1.0,1.0
706.0,0.0,0.3440129386423598,0.8988408371858003,-1.702018524756813,0.0,1.0
706.0,1.0,0.45010767812859737,0.9117197073652252,-0.1395852790909986,0.0,0.0
756.0,0.0,0.6185801864834769,1.5458765866871034,0.2867712240412963,0.0,1.0
764.0,1.0,0.30644311569525023,1.3391458954958224,0.5686110014315365,1.0,1.0
770.0,0.0,0.24468505102455493,0.7806385405367143,-1.9736795747300186,0.0,0.0
801.0,0.0,0.21505072359358568,0.751166957071592,1.3042091651400853,0.0,1.0
801.0,1.0,0.2970598628514964,1.3814456003818847,1.3042091651400853,0.0,0.0
841.0,1.0,0.22711705778871238,1.8068745896136784,1.3042091651400853,1.0,1.0
845.0,0.0,0.30462778925794604,0.8479314391706039,-0.08712745421838787,0.0,1.0
939.0,0.0,0.3159917207191049,0.8620187463719535,0.5686110014315365,1.0,1.0
939.0,0.0,0.1748204271637278,0.7145450261051786,0.5686110014315365,0.0,0.0
940.0,0.0,0.17941327647624572,0.7185443567521791,1.3042091651400853,0.0,1.0
949.0,0.0,0.3970646172061635,0.9779289393858106,1.3042091651400853,0.0,1.0
992.0,0.0,0.1720628229015231,0.7121650962457293,1.3042091651400853,1.0,0.0
992.0,0.0,0.15974328961536194,0.7017235948569154,1.3042091651400853,1.0,0.0
1005.0,0.0,0.2621470213351925,0.7991130705750135,1.410340501005082,1.0,1.0
1025.0,1.0,0.43347578696336214,0.9467011836140478,-0.08712745421838787,1.0,0.0
1025.0,0.0,0.36570838196509403,0.9295849773964792,-0.4031241456725556,0.0,0.0
1025.0,0.0,0.6702479167440503,1.7880947213185363,-1.702018524756813,1.0,0.0
1048.0,0.0,0.3069567654414451,0.8507809181476641,1.3042091651400853,1.0,1.0
1057.0,0.0,0.6373953572229795,1.626090484937169,-1.1045653953171772,0.0,1.0
1057.0,1.0,0.5069125310768634,0.8095519748041519,1.3042091651400853,0.0,0.0
1057.0,0.0,0.5130707326447467,1.2109109041982766,-0.2549812975696407,1.0,0.0
1063.0,0.0,0.30220340658853945,0.8449854369897677,-0.41467002560332517,0.0,1.0
1071.0,0.0,0.4090093615836793,0.9976942460438661,-0.41467002560332517,1.0,1.0
1111.0,0.0,0.21824888336285816,0.7542399964200325,1.3042091651400853,1.0,0.0
1123.0,0.0,0.33364669150597837,0.8848578552815037,1.3042091651400853,1.0,0.0
1123.0,0.0,0.22031947658729165,0.7562430273785952,-1.2720935677449805,1.0,0.0
1207.0,1.0,0.5335117068186478,0.7691903201774355,0.6027679154954642,0.0,1.0
1207.0,0.0,0.48620457680072293,1.1475928604857684,0.6027679154954642,0.0,0.0
1210.0,1.0,0.5807239294277012,0.7066559853847664,0.6027679154954642,0.0,1.0
1210.0,1.0,0.5109545670462251,0.8031478081477256,-0.8294806488048506,0.0,0.0
1216.0,1.0,0.3602959071350804,1.1389861290663816,0.6143137954262338,0.0,0.0
1225.0,1.0,0.34535569061557864,1.18825909558571,0.6027679154954642,1.0,1.0
1227.0,1.0,0.5804674690408346,0.7069681980014233,1.3042091651400853,1.0,1.0
1227.0,1.0,0.5081973056254604,0.8075053449588505,-1.1045653953171772,0.0,0.0
1230.0,0.0,0.2337269420230056,0.7694749975555796,1.3042091651400853,1.0,1.0
1269.0,0.0,0.361363816884963,0.9232611226907966,-0.08355900033885029,0.0,1.0
1293.0,0.0,0.4659049065573087,1.1039756153030857,1.3042091651400853,1.0,1.0
1297.0,0.0,0.5520744722831765,1.316352658932434,-0.2549812975696407,1.0,1.0
1377.0,1.0,0.44537068195027946,0.9214168269658556,0.6027679154954642,1.0,1.0
1388.0,0.0,0.5240176398540537,1.2387601070614502,0.6027679154954642,1.0,1.0
1394.0,0.0,0.19134370515681706,0.7291453280878704,1.3042091651400853,1.0,1.0
1401.0,0.0,0.3767063584243116,0.9459874448954312,-1.9736795747300186,1.0,0.0
1406.0,0.0,0.4783333930035272,1.1302773677781928,-0.08355900033885029,0.0,1.0
1406.0,0.0,0.30660576963931047,0.8503502532852658,-0.7734543700527021,0.0,0.0
1406.0,0.0,0.4438918571448169,1.0602757161340473,-1.702018524756813,0.0,0.0
1414.0,0.0,0.4433946010275825,1.0593284946612116,-0.2549812975696407,1.0,1.0
1414.0,0.0,0.3790300014941199,0.9495272892933022,-0.08712745421838787,0.0,0.0
1414.0,0.0,0.2896822032014915,0.8300903652861881,-0.08355900033885029,0.0,0.0
1414.0,1.0,0.34372223848879446,1.1939059933697718,-0.95966533017035,0.0,0.0
1415.0,0.0,0.4835451598638868,1.141683480511783,-0.825912194925313,1.0,1.0
1415.0,0.0,0.4571560205807293,1.08618310558502,-1.515807564639165,0.0,0.0
1415.0,0.0,0.3542954279355418,0.9131543819313299,-2.3883454405911277,0.0,0.0
1415.0,0.0,0.3110621504528147,0.8558507270304514,-1.515807564639165,1.0,0.0
1415.0,1.0,0.41325065113136883,0.993034226232331,-1.515807564639165,1.0,0.0
1415.0,1.0,0.614278074595399,0.6680558163443191,-1.515807564639165,1.0,0.0
1416.0,1.0,0.2470029205602159,1.6614056208546035,-1.0828557412262632,1.0,1.0
1416.0,1.0,0.17430668851908093,2.086554730403893,-1.1500872757288414,1.0,0.0
1419.0,0.0,0.32982342550100674,0.8798098618331219,0.5686110014315365,0.0,1.0
1423.0,0.0,0.2814656332479249,0.8205981323885666,1.3042091651400853,1.0,1.0
1423.0,0.0,0.22769135800766852,0.7634615584420831,1.3042091651400853,0.0,0.0
1436.0,0.0,0.7068063142172374,2.0110527204553446,-0.269769960456498,0.0,1.0
1437.0,0.0,0.5146397966150469,1.2148255157749375,-0.269769960456498,1.0,1.0
1437.0,1.0,0.5119672984275448,0.801559087556298,-0.269769960456498,0.0,0.0
1438.0,0.0,0.547036714594398,1.3017124751861002,-1.1045653953171772,0.0,1.0
1440.0,0.0,0.4457208788081381,1.0637744357858583,0.6027679154954642,0.0,1.0
1440.0,0.0,0.4686524431186484,1.109684145109218,-0.08355900033885029,1.0,0.0
1482.0,0.0,0.4889701015092369,1.1538032533030194,-0.9560968762908125,1.0,1.0
1482.0,0.0,0.37400753477347287,0.9419090359184854,-0.08712745421838787,0.0,0.0
1494.0,0.0,0.4305805905777857,1.0354897456200964,0.6143137954262338,1.0,0.0
1525.0,0.0,0.31220842982242336,0.8572770952419813,0.6178822493057712,1.0,1.0
1544.0,0.0,0.31975063845717994,0.8667820842587276,-0.7734543700527021,0.0,1.0
1548.0,0.0,0.29471015646931625,0.8360080112058247,-1.6459922460046645,1.0,1.0
1548.0,1.0,0.4155830672704058,0.9874609263597128,-1.702018524756813,0.0,0.0
1551.0,1.0,0.20386951890269647,2.012915137069164,-0.825912194925313,1.0,1.0
1566.0,0.0,0.22219992778804795,0.7580713611107501,-0.08355900033885029,0.0,1.0
1566.0,0.0,0.22278096324680322,0.7586380820996135,-0.825912194925313,1.0,0.0
1566.0,0.0,0.4051787105766244,0.991269091907158,-1.1009969414376397,0.0,0.0
1596.0,0.0,0.3456472534337527,0.9010857866920556,-0.8294806488048506,0.0,1.0
1596.0,0.0,0.24327142667718948,0.7791802506210198,-0.8294806488048506,0.0,0.0
1596.0,1.0,0.22725285709167564,1.805794857050789,-1.6984500708772756,0.0,0.0
1596.0,0.0,0.4604958585980377,1.0929071978605012,-2.3883454405911277,1.0,0.0
1610.0,0.0,0.21235293837747002,0.7485941205685931,0.6027679154954642,0.0,0.0
1617.0,1.0,0.19746544241840672,2.078196749569549,0.6027679154954642,0.0,1.0
1617.0,1.0,0.4256848031878154,0.9640279322003105,-0.825912194925313,1.0,0.0
1690.0,0.0,0.45458697299944173,1.0810668800053262,0.6027679154954642,1.0,1.0
1690.0,0.0,0.42220266551082586,1.020475388546123,-1.1045653953171772,0.0,0.0
1786.0,0.0,0.2346713467753009,0.7704245188382363,1.3042091651400853,1.0,1.0
1789.0,0.0,0.1131567140081862,0.6648615022825993,-1.9736795747300186,0.0,1.0
1825.0,1.0,0.49910211813585276,0.8222205950938177,1.3042091651400853,1.0,1.0
1825.0,0.0,0.4562452678613686,1.0843638217081804,0.4316712891881235,0.0,0.0
1825.0,0.0,0.4292279131502358,1.0330357300197708,0.6027679154954642,0.0,0.0
1825.0,1.0,0.4352754650886729,0.9427869785921569,0.6027679154954642,1.0,0.0
1826.0,0.0,0.2597237116573107,0.7964971574785915,1.3042091651400853,1.0,0.0
1838.0,0.0,0.4057791791053121,0.992270783319207,-0.08712745421838787,0.0,1.0
1862.0,0.0,0.22971358317416893,0.7654658663766553,-0.08355900033885029,1.0,1.0
1862.0,0.0,0.16101773277364873,0.7027895373319933,0.6027679154954642,1.0,0.0
1862.0,0.0,0.40367258992666694,0.9887654826083627,1.3042091651400853,1.0,0.0
1928.0,0.0,0.3079676387153498,0.8520236803943704,-0.269769960456498,1.0,1.0
1928.0,1.0,0.19690407689534636,2.084121604065906,0.6027679154954642,1.0,0.0
1928.0,0.0,0.22362910758865082,0.7594668542794211,-1.515807564639165,1.0,0.0
1993.0,0.0,0.28835631405142015,0.8285437938338682,0.6027679154954642,1.0,0.0
2002.0,0.0,0.33221147842817544,0.8829561161457254,-0.08355900033885029,1.0,1.0
2002.0,0.0,0.1935658042179187,0.7311544605842663,-1.012123155042961,0.0,0.0
2002.0,0.0,0.2723167266352519,0.8102810398366898,0.6178822493057712,1.0,0.0
2021.0,0.0,0.3206889883690008,0.8679793928234439,0.6143137954262338,1.0,1.0
2105.0,0.0,0.3247598154392776,0.8732121886337924,-0.08355900033885029,0.0,1.0
2119.0,0.0,0.29926390662925356,0.8414408291393561,-0.9560968762908125,1.0,1.0
2119.0,1.0,0.24173033997256269,1.6976439144247453,-0.9560968762908125,1.0,0.0
2119.0,0.0,0.17941188488757387,0.7185431382137081,-0.08355900033885029,0.0,0.0
2130.0,0.0,0.23112284346316722,0.7668688741769224,-1.702018524756813,0.0,1.0
2130.0,1.0,0.42710149962584903,0.9608302498252554,-0.08355900033885029,1.0,0.0
2131.0,0.0,0.23870034337321802,0.7745018065899539,-1.7908923111514916,1.0,1.0
2131.0,1.0,0.41591528669743594,0.9866721751075653,1.3042091651400853,0.0,0.0
2161.0,0.0,0.27254464029644204,0.8105349029994512,-1.1045653953171772,0.0,1.0
2175.0,0.0,0.25893682487564146,0.7956514089568789,-0.08712745421838787,0.0,0.0
2190.0,0.0,0.24640339447213921,0.7824185447342165,1.3042091651400853,0.0,0.0
2250.0,0.0,0.5548133531448438,1.3244511343252234,-1.515807564639165,1.0,1.0
2250.0,1.0,0.4313216505888344,0.9514292640446207,-0.825912194925313,1.0,0.0
2253.0,0.0,0.5576865097670728,1.3330544340920951,-0.08355900033885029,1.0,1.0
2260.0,1.0,0.4382888011754922,0.9363051017630988,1.410340501005082,1.0,0.0
2262.0,0.0,0.48100998626607994,1.1361065604550329,-0.269769960456498,1.0,1.0
2262.0,1.0,0.5983055061059962,0.6858904629795334,0.6027679154954642,0.0,0.0
2262.0,1.0,0.532019999073195,0.7713470194750838,1.3042091651400853,1.0,0.0
2262.0,1.0,0.5109668657085231,0.8031284768674984,-1.515807564639165,1.0,0.0
2267.0,0.0,0.5817500775992349,1.4097503139493126,-2.3667306603919434,1.0,1.0
2267.0,0.0,0.5093866579318828,1.2018180282832376,0.6027679154954642,1.0,0.0
2267.0,0.0,0.4375728885456017,1.0483633299415749,-1.6984500708772756,1.0,0.0
2267.0,0.0,0.3694639527056347,0.9351217300642081,0.6027679154954642,1.0,0.0
2267.0,0.0,0.47766686442446943,1.1288350656982067,0.6143137954262338,0.0,0.0
2278.0,0.0,0.2548364462112285,0.7912732129957253,-0.08712745421838787,0.0,1.0
2281.0,0.0,0.28938920212586844,0.8297481000537699,0.6027679154954642,1.0,1.0
2281.0,0.0,0.2068253576354253,0.743377218484927,0.6027679154954642,1.0,0.0
2319.0,0.0,0.3383329461507771,0.8911248580137338,0.6143137954262338,0.0,1.0
2319.0,1.0,0.46504011425728214,0.882444391365362,-0.08355900033885029,1.0,0.0
2319.0,1.0,0.30791109952769874,1.3327614406096782,-0.08355900033885029,1.0,0.0
2374.0,0.0,0.3436160925057397,0.8982974029096077,-1.543138361390766,1.0,1.0
2436.0,0.0,0.17229085063660435,0.7123612924506713,1.3042091651400853,1.0,1.0
2441.0,0.0,0.25173229951167664,0.7879906603331401,0.6027679154954642,0.0,0.0
2447.0,0.0,0.20964577622721015,0.7460299972829143,0.6027679154954642,0.0,0.0
2447.0,0.0,0.20964577622721015,0.7460299972829143,0.4316712891881235,0.0,0.0
2447.0,0.0,0.4349901141703109,1.0435710492886594,0.6027679154954642,1.0,0.0
2480.0,1.0,0.18813578498392117,2.086554730403893,0.6027679154954642,0.0,1.0
2480.0,0.0,0.263324182250616,0.8003900022334448,0.6027679154954642,0.0,0.0
2482.0,1.0,0.31499480661975954,1.3027898618075286,1.3042091651400853,0.0,1.0
2482.0,1.0,0.2768267366725238,1.482414760651177,-0.825912194925313,1.0,0.0
2482.0,0.0,0.25204968879581935,0.7883250405557937,-0.1395852790909986,1.0,0.0
2525.0,0.0,0.3324124292738647,0.8832218951776104,-1.8433501360241025,1.0,1.0
2536.0,0.0,0.19011387422968704,0.7280381039407695,-0.08355900033885029,0.0,0.0
2577.0,0.0,0.19804451874722503,0.7352377696735319,1.3042091651400853,1.0,1.0
2640.0,0.0,0.3178061378946743,0.8643114401441508,0.5686110014315365,1.0,1.0
2645.0,0.0,0.41359514027166555,1.0054963727396682,-0.08712745421838787,0.0,0.0
2662.0,0.0,0.6042590286491604,1.4899340783469859,-1.157023220189788,0.0,0.0
2663.0,0.0,0.30159223422421216,0.8442459954018386,-2.6634301871034536,0.0,0.0
2672.0,0.0,0.45384844279897024,1.0796050137356312,1.410340501005082,0.0,1.0
2675.0,1.0,0.387618458270872,1.0587009772880147,-0.08355900033885029,1.0,1.0
2679.0,0.0,0.4041292966252369,0.9895233245641167,0.6027679154954642,1.0,1.0
2679.0,0.0,0.44068546168893685,1.0541974488884682,-0.1395852790909986,1.0,0.0
2683.0,1.0,0.4697076246475059,0.8736754931202388,-0.825912194925313,1.0,1.0
2683.0,1.0,0.5889396207887249,0.6967981540054373,-1.515807564639165,0.0,0.0
2683.0,0.0,0.4229287857660375,1.0217594377783343,-0.825912194925313,1.0,0.0
2692.0,0.0,0.33120774907539774,0.8816309677610592,-1.1009969414376397,1.0,1.0
2748.0,0.0,0.40494798076738303,0.9908847300008197,0.6027679154954642,1.0,0.0
2792.0,1.0,0.47090966906307935,0.8714453483249153,0.6027679154954642,1.0,0.0
2795.0,0.0,0.529634308521452,1.253552225631757,-1.1009969414376397,0.0,1.0
2795.0,0.0,0.41893667452472694,1.0147395878607135,-1.515807564639165,0.0,0.0
2878.0,1.0,0.5226290526120826,0.785207095807667,-1.543138361390766,1.0,1.0
2878.0,1.0,0.3556963023118422,1.153714665907516,-2.3883454405911277,0.0,0.0
2878.0,1.0,0.6158473857788926,0.6663534668856764,-1.515807564639165,0.0,0.0
2970.0,0.0,0.38873867154456526,0.9646086411251555,0.4316712891881235,0.0,1.0
2970.0,1.0,0.6119883133157945,0.6705553548283005,0.6027679154954642,1.0,0.0
3021.0,0.0,0.2579545212140282,0.7945981429311028,0.6027679154954642,0.0,1.0
3027.0,0.0,0.35719760238869275,0.9172771626317007,-0.8294806488048506,1.0,0.0
3046.0,0.0,0.5272544579594775,1.247241712462754,0.5686110014315365,1.0,0.0
3046.0,1.0,0.5025289178739518,0.8166137827896671,-0.7734543700527021,0.0,0.0
3046.0,1.0,0.41842646574188097,0.98075067947398,0.6027679154954642,0.0,0.0
3051.0,0.0,0.18242057862436944,0.7211873782508699,1.3042091651400853,1.0,0.0
3066.0,0.0,0.5461961681676291,1.2993014118742718,-0.9560968762908125,1.0,1.0
3066.0,1.0,0.6716000025945689,0.6110363892210687,-0.9560968762908125,0.0,0.0
3101.0,0.0,0.3021203433669265,0.8448848649041003,-0.08712745421838787,0.0,0.0
3197.0,0.0,0.27749471349151866,0.8160880901828982,1.3042091651400853,0.0,0.0
